EL ,Licensee ,Applic. date,Date of grant,Comments on Status as of 2012
6,Oryx Minerals Ltd,24-3-05,23-3-12,"In gazette, Returns and assessment reports submitted, Fees and mineral rents paid. (a) Before the transfer, no returns were submitted to GSMD and after transfer there continued to be no returns submitted.(b) The last action taken on this Exploration Licence was on 27/7/2011 Black minute of the same date."
8,Busitema Mining CIE ltd ,18-3-05,17-3-12,"No evidence of financial, technical and operational resources submitted, No returns and assessment reports submitted ever since grant, No returns and assessment reports submitted ever since grant, Social acceptance to exploration is lacking"
10,Oryx Minerals Ltd,22-4-05,21-4-12,"In gazette, Returns and assessment reports submitted, Fees and mineral rents paid"
22,Elegant Resources Limited,22-4-05,21-4-12,"Assessment reports submitted, Fair performance"
27,Roraima Mining Co. Ltd ,22-4-05,21-4-12,"In gazette, Assessment reports submitted, Fees and mineral rents paid (a) The application was not complete. It is a requirement when filling the application form to indicate in the application a person qualified to comply with the mining regulations.(b) This licence was transferred with the consent of the Commissioner on 15/12/2007 after change of the company whose details were not established.(c) The calculation of annual rent is not shown in the black minute. It should be based on square kilometer of the area licensed. The amount so calculated is then used in preparing Bank Payment Advise Form (BPAF). This step is missing.(d) Last renewal of this licence was in April 2011.(e) Black minutes show no activity since the last renewal in April 2011. (f) No Memorandum and Articles of Association filed(a) Officers in Mines Division to ensure that all applications are fully filed as shown in the application. Where this not done the application should not be processed until it is completed.(b) It is a good practice that where a company is a licencee, the existence of it has to be confirmed. This could be by certified copies of the Memorandum and Articles of Association. The GSMD should always confirm the existence of a Company.(c) The assessed or calculation of fees should be plainly stated in the black minute. Where a BPAF is issued and receipt of funds, copies of these documents must be filed on the very file.(d) It should be the practice of the department to find out why the licencee is failing to submit returns and why there is no activity reported. This practice enables the department to know the hardships licencees face. It will help the department to know whether the area could be given to another applicant with the ability to perform. "
28,Nawata Mines Limited,9/9/05,8/9/12,"Sub-standard reports submitted, not in good standing, No substantial work done"
29,Busitema Mining CIE ltd,23-4-05,22-1-12,"No evidence of financial, technical and operational resources submitted; No returns and assessment reports submitted ever since grant, Social acceptance to exploration is lacking"
30,Busitema Mining CIE ltd,22-4-05,21-4-12,"No evidence of financial, technical and operational resources submitted, No returns and assessment reports submitted ever since grant, Social acceptance to exploration is lacking"
32,Rwenzori Copper & Nickel Limited ,30-4-05,29-4-12,"Review didn’t follow procedure,Review was rushed, No evidence of payment of quote fees, Renewal granted with no evidence of exploration work done. No record of payment for both 2nd and third years of operation. No substantial work done for the last 10 years"
33,Rwenzori Copper & Nickel Limited,29-4-05,28-4-12,"Review didn’t follow procedure, Review was rushed, No evidence of payment of quote fees,Renewal granted with no evidence of exploration work done. No record of payment for both 2nd and third years of operation. No substantial work done for the last 10 years"
163,Busitema Mining CIE ltd,23-4-07,22-4-12,"No evidence of financial, technical and operational resources submitted. No returns and assessment reports submitted ever since grant, Social acceptance to exploration is lacking"
190,Busitema Mining CIE ltd,22-5-07,21-5-12,"No evidence of financial, technical and operational resources submitted. No returns and assessment reports submitted ever since grant, Social acceptance to exploration is lacking"
191,Busitema Mining CIE ltd,22-5-07,21-5-12,"No evidence of financial, technical and operational resources submitted. No returns and assessment reports submitted ever since grant, Social acceptance to exploration is lacking"
197,Busitema Mining CIE ltd,22-5-07,21-5-12,"No evidence of financial, technical and operational resources submitted. No returns and assessment reports submitted ever since grant, Social acceptance to exploration is lacking"
410,Busitema Mining CIE ltd,22-12-08,21-12-11,"No evidence of financial, technical and operational resources submitted. No returns and assessment reports submitted ever since grant, Social acceptance to exploration is lacking"
438,Busitema Mining CIE ltd,25-3-09,24-3-12,"No evidence of financial, technical and operational resources submitted. No returns and assessment reports submitted ever since grant, Social acceptance to exploration is lacking"
ML4128,Busitema Mining CIE ltd,12/12/05,11/12/15,"No returns and assessment reports submitted ever since grant,Social acceptance to Mining is lacking"
736,Universal Resources International Ltd ,,,"No evidence of financial (708,450,000/=), technical and operational resources submitted. Name of AC/mines signed PIM, Not in gazette, Expenditure and reporting conditions not complied with satisfactorily  (empty), Technical resources lacking, (No significant exploration), No notice of non-compliance"
650,Hard Rock Engineering Ltd (Erisa Mwesige)  ,24-5-10,18-6-10,"No evidence of financial (1,096,254,000/=), technical and operational resources submitted. Commissioner query not responded to EL granted. Not in gazette, Expenditure and reporting conditions not complied with satisfactorily  (empty), Technical resources lacking, (No significant exploration), No notice of non-compliance"
645,Faithable International Company Limited ,19-5-10,17-6-10,"No evidence of financial (491,700,000/=), technical and operational resources submitted. Directors not given in application form, Not in gazette, Expenditure and reporting conditions not complied with satisfactorily  (empty), Technical resources lacking, (No significant exploration),No notice of non-compliance"
648,Zhong Hua Exp & Mineral Development Company Limited (Chinese),3/5/10,18-6-10,"No evidence of financial (436,800,000/=), technical and operational resources submitted. In gazette, Expenditure and reporting conditions not complied with satisfactorily  (sub-standard reports), Technical resources lacking, (No significant exploration), No notice of non-compliance"
646,Megha Minerals & Mines Ltd ,4/3/10,21-6-10,"No evidence of exploration dollars (US$ 218,875), technical and operational resources submitted. Application declared null and void by commissioner but finally granted, Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily  having mismatch(sub-standard reports), Technical resources lacking, employing geologist trainees from Makerere University (No significant exploration)"
644,Doher Industries Ltd ,26-4-10,16-6-10,"No evidence of exploration dollars (US$ 218,875), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily  having mismatch(sub-standard reports), Technical resources lacking, (No significant exploration)"
643,Nelvo International Ltd (Pravin Ghelan),20-4-10,16-6-10,"No evidence of exploration dollars (US$ 218,875), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily  having mismatch(sub-standard reports), Technical resources lacking, (No significant exploration). The company lacks technical professionals with geological or mining backgrounds."
642,Esta Industries Ltd (Pravin Ghelan),26-4-10,16-6-10,"No evidence of exploration dollars (US$ 218,875), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily  having mismatch(sub-standard reports), Technical resources lacking, (No significant exploration). The company lacks technical professionals with geological or mining backgrounds to carry out effective exploration programs. Commissioner requested to review all licenses but no action was taken"
641,Nelvo International Ltd ,26-4-10,16-6-10,"No evidence of exploration dollars (US$ 218,875), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily  having mismatch(sub-standard reports), Technical resources lacking, (No significant exploration), Several license under names Fergie Minerals & Metals (216, 206, 227, 562, 581), Doher Industries Ltd , Esta Industries"
403,Chn-Henan Zhongua Geology & Mines (U) Ltd,11/9/08,26-11-08,"No evidence of financial (299,585,000/=), technical and operational resources submitted. In gazette, AC/geology should follow standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily  having mismatch(sub-standard reports), Technical resources lacking, (No significant exploration), Assistant IOM signs for Commissioner, Renewed despite sub-standard work, Surface rent defaulted"
322,Zhong Hua Exp & Mineral Development Company Limited (Chinese),,23-5-10,"Incomplete application forms. No evidence of financial (393,750,000/=), technical and operational resources submitted. In gazette, Expenditure and reporting conditions not complied with satisfactorily  (sub-standard reports), Technical resources lacking, (No significant exploration), Renewed despite sub-standard work, Second notice to gazette ignored by licensee, No notice of non-compliance"
