X,Y,OBJECTID,Country_IS,ID,Original_D,ID_in_orig,Deposit_na,Mining_com,Province_D,Status,Longitude_,Latitude_Y,Comment,Author,Deposit_ty,Morphology,Morpholo_1,Mineralisa,Mineralogy,Mineralo_1,Hydrotherm,Hydrothe_1,Age_strati,Host_rock_,Host_rock1,Host_roc_1,Exploitati,Exploita_1,Commodity_,Commodity1,Commodit_1,Commodit_2,Commodit_3,Commodit_4,Commodit_5,Commodit_6,Commodit_7
30.6808,-1.12443,1,UGA,TZA-00003,"Blanchot, 1978 (Rapport, gisements)",TZA-00003,Karagwe,,"NW de Bukaba, proche front. Rwanda",Old mining district,30.6808,-1.12443,"Harris J.F, 1961, in note YD, DEX/1328, 14/04/87: ceinture Sn-(W) de 8 km x 50 km, direction SW, proche font. RWA, encaiss� ds m�tasedts Karagwe-Ankolean(phyllites, sch serx, qtzites) recoup�s par Gr intrusifs (and, tourm.); fractures � qtz-mica-cassit-w",Milesi J.P.,"Granitic and peri-granitic veins and stockworks (greisen): Sn-W, (Cu, Bi, Sb, base metals)",Discordant envelope of disseminated ore,,Tonian,Cassiterite,Hematite,Tourmalinization,Greisenization,Mesoproterozoic,Syst�me Karagwe - Ankolean,Schist,"Quartzite, quartz sandstone",Mining method unkown,,Tin (Cassiterite),Wolfram (WO3),Niobium - columbium (Nb2O5),,,,,,
30.1623,-1.19177,2,UGA,UGA-00001,"Blanchot, 1978 (Rapport, gisements)",UGA-00001,Bulema,,,Deposit or prospect of unknown status,30.1623,-1.19177,,Milesi J.P.,Unspecified ore deposit type,"Atypical, unspecified or ill-defined form",,,,,,,,,,,Mining method unkown,,Beryl,,,,,,,,
30.267417,-1.152155,3,UGA,UGA-00002,"Blanchot, 1978 (Carte, indices)",Etain - 00008,Mwirasandu,,"E-6 39; Burama Hill district, Southern Uganda",Deposit or prospect of unknown status,30.267417,-1.152155,"Taille D, < 10000 t Sn ;Yarmolyuk, 1980; 30,488803 /-0,801085 ;C43 /F. ,  :Sn, , , , , , , ., E-6 39

Blanchot, 1978 (Carte, indices)	Etain - 00008 ; 30,265258 / -1,149233

Burama Hill area 9
Sheet S.A. 36-5 Kabale 1/250 000, 1961	Sn72 ; 30,267417 /",Milesi J.P.,"Granitic and peri-granitic veins and stockworks (greisen): Sn-W, (Cu, Bi, Sb, base metals)","Atypical, unspecified or ill-defined form",,,Cassiterite,,,,Mesoproterozoic,,Schist,Micaschiste (s.l.),Mining method unkown,,Tin (Cassiterite),,,,,,,,
29.625229,-1.233856,4,UGA,UGA-00003,"Blanchot, 1978 (Carte, indices)",Tung - 00001,Kirwa (UGA),,,Deposit or prospect of unknown status,29.625229,-1.233856,"
Blanchot, 1978 (Carte, indices) 29,642405 / -1,236893. Blanchot : 29,8405 / -0,915306

500 - 10000 t ; CCGM - Council, 1999, 1939. 29,6167 / -1,2333. W

Kirwa mine (Busengo) ; 
Sheet S.A. 36-5 Kabale 1/250 000, 1961	W28; 29,625229 / -1,233856, W",Milesi J.P.,"Granitic and peri-granitic veins and stockworks (greisen): Sn-W, (Cu, Bi, Sb, base metals)",Discordant envelope of disseminated ore,,Neoproterozoic,Wolframite,Scheelite,Greisenization,,Tonian,,Schist,Micaschiste (s.l.),Unworked,,Wolfram (Tungsten),,,,,,,,
30,-1.2,5,UGA,UGA-00004,"Blanchot, 1978 (Rapport, gisements)",UGA-00004,"Kigezi district (Au, Bi)",,"SW Uganda, NW Kabale",Old mining district,30,-1.2,"Uganda, Suppl. to Min. J., 1996, vol. 326, n� 8373 : PP to MP metasediments

Approx coordinates",Milesi J.P.,"Fault-related syn- to late-orogenic ore deposits : Au, Zn, As, Sb, Cu, Ni, Co",Present-day or recent placers,"Discordant lode or vein (thickness > 50 cm), in clusters or isolated",Quaternary,Gold,,,,Mesoproterozoic,,Unspecified alluvium,"Quartzite, quartz sandstone",Alluvial mining,,Gold,Bismuth (metal),,,,,,,
30.307148,-0.127714,6,UGA,UGA-00006,"Blanchot, 1978 (Rapport, gisements)",UGA-00006,Kitaka mine,,Buhweju district,Deposit of unknown status,30.307148,-0.127714,"Taille D, < 200000 t Cu ;Yarmolyuk, 1980; 30,354496 /-0,1107. Cu, Pb, Zn, Ag

N/A ;CCGM - Council, 1999, 1903. 30,3 / -0,1167. Pb, Cu, Zn
Blanchot : 30,36 / -0,20242

Uganda, Suppl. to Min. J., 1996, vol. 326, n� 8373 : Pb, Zn and Au, Buganda - Toro",Milesi J.P.,"Fault-related syn- to late-orogenic ore deposits : Au, Zn, As, Sb, Cu, Ni, Co",Present-day or recent placers,"Discordant lode or vein (thickness > 50 cm), in clusters or isolated",Quaternary,Gold,Galena,,,Orosirian,Buganda - Toro Complex,Unspecified alluvium,Schist,Mining method unkown,,Lead,Gold (metal),Copper (metal),Silver (metal),Zinc (metal),,,,
30.3506,-0.293772,7,UGA,UGA-00007,"Blanchot, 1978 (Rapport, gisements)",UGA-00007,Buhweju (district),"DGSM, artisans","SW Uganda, Southern Province",Deposit of unknown status,30.3506,-0.293772,"Mashonga placers, Muti placers, Kanyambongo Mine

Uganda, Suppl. to Min. J., 1996, vol. 326, n� 8373 : PP to MP metasediments; alluvial gold deposits on a bedrock of Karagwe-Ankolean sediments or Toro Complex schists and gneisses; gold recovered by arts",Milesi J.P.,"Fault-related syn- to late-orogenic ore deposits : Au, Zn, As, Sb, Cu, Ni, Co","Discordant lode or vein (thickness > 50 cm), in clusters or isolated",Present-day or recent placers,Quaternary,Gold,,,,Mesoproterozoic,Buhweju Group,Pelite,Micaceous sandstone (=psammite),Alluvial mining,,Gold,,,,,,,,
30.1667,-0.3833,8,UGA,UGA-00008,"Blanchot, 1978 (Rapport, gisements)",UGA-00008,Mashonga,,"Bushenyi District, SW Uganda ; S of Lubare Ridge, 15 km SSE Rubirizi",Producing small-scale mine,30.1667,-0.3833,"Size 1, < 25 t Au ;CCGM - Council, 1999, 1918. 30,1667 / -0,3833 ;H10 ;D30 . Au, , ; Orient :; Pend :.
Blanchot : 30,159 / -0,429544

Pohl W. and Hadoto D.P.M.,1990,  IGCP 255 Newsletters, Bull. 3, 61 - 67 : granite - related kibaran gold mineralizatio",Milesi J.P.,"Fault-related syn- to late-orogenic ore deposits : Au, Zn, As, Sb, Cu, Ni, Co",Present-day or recent placers,"Discordant lode or vein (thickness > 50 cm), in clusters or isolated",Tonian,Gold,,,,Mesoproterozoic,"Igara Group, Buganda - Toro supergroup",Unspecified alluvium,Meta-pelite,Alluvial mining,,Gold,,,,,,,,
33.9613,0.421942,9,UGA,UGA-00009,"Blanchot, 1978 (Rapport, gisements)",UGA-00009,Busia,,"Busoga Province, Busia region, near the Kenya border",Producing province or district,33.9613,0.421942,"Taille D, < 5 t Au ;Yarmolyuk, 1980; 33,806959 /0,437065. Au. E-7 26

Uganda, Suppl. to Min. J., 1996, vol. 326, n� 8373 : Nyanzian-Kavirondian greenstone belt; alluvial gold and qtz veins occurrences, lateritic gold. The Busia gold occurrences were dis",Milesi J.P.,"Fault-related syn- to late-orogenic ore deposits : Au, Zn, As, Sb, Cu, Ni, Co","Discordant lode or vein (thickness > 50 cm), in clusters or isolated",Present-day or recent placers,Quaternary,Gold,Silver,,,Neoarchean,,"Quartzite, meta-quartzite",Shale,Mining method unkown,Alluvial mining,Gold,,,,,,,,
34.682663,2.689337,10,UGA,UGA-00010,"Blanchot, 1978 (Rapport, gisements)",UGA-00010,Moroto Mountain,,"Karamoja district, Northeastern Uganda",Deposit or prospect of unknown status,34.682663,2.689337,"Uganda, Suppl. to Min. J., 1996, vol. 326, n� 8373 : chromite occurrence in ultramafic rocks; at Moroto : an ultramafic rock assemblage may represent a lower Proterozoic or archean layered intrusion with potential for Ni, Cr Cu and PGE mineralization

U",Milesi J.P.,"Ore deposits hosted by basic-ultrabasic magmatic complexes: PGE, Cr, Ni, Cu, Au","Atypical, unspecified or ill-defined form",,,Chromite,,,,,,Undifferentiated ultramafic-mafic rocks,,Mining method unkown,,Chromium,"Platinoids, group (metal)",,,,,,,
