Revenue Collections,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
Net URA Collections (Excl. Govt. taxes & Tax Refunds),180.46,282.6,373.35,506.99,611.7,728.35,797.43,935.56,978.01,1075.15,1212.47,1409.25,1642.06,1923.52,2231.05,2625.74,3161.7,3662.32,4205.69,5114.2,6208.35,7149.48,8031.03,9939.69,11293.81,12719.63
Gross Revenues,180.46,282.6,388.04,522.23,639.37,742.62,821.59,969.58,1031.58,1125.39,1267.31,1461.65,1707.03,1998.77,2352.74,2838.92,3404.1,3949.08,4493.46,5461.24,6550.8,7489.35,8377.83,10116.3,11496.77,12894.95
Domestic Taxes,70.57,115.89,161.77,209.4,255.02,282.48,346.12,414.73,452.55,499.09,618,716.67,823.26,1011.71,1191.98,1409.29,1623.24,1875.76,2351.33,2816.19,3472.04,4274.73,4671.21,5553.97,6301.96,7224.21
Taxes on international Trade,100.58,165.98,211.22,297.59,356.69,453.44,466.18,543.55,555.45,611.07,633.26,722.45,861.31,958.22,1127.84,1376.4,1704.23,1957.84,2038.71,2534.02,2937.18,3070.51,3548,4395.5,4960.11,5414.56
Government Taxes,0,0,14.69,15.24,27.67,6.7,9.29,11.3,23.57,15.24,13.05,12.73,11.93,15.36,16.69,27.95,45.9,80.85,57.53,55.34,76.14,54.59,48.15,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Domestic Taxes,23.64,43.57,50.77,64.5,67.68,88.25,107.88,148.43,158.79,200.12,259.48,319.94,402.5,513.32,604.62,727.39,862.16,1028.92,1303.07,1665.12,1991.9,2433.5,2624.45,3248.97,3706.96,4180.05
 -PAYE,3.21,11.19,14.61,20.33,25.04,38.33,48.41,67.65,83.47,103.55,137.31,168.27,200.27,245.33,307.57,368.63,451.38,555.71,657.92,825.64,996.93,1196.5,1397.56,1613.24,1803.53,2114.99
 -Corporation Tax,20.43,31.25,24.79,24.49,24.08,25.65,29.25,44.31,40.89,54.27,69.41,84.22,121.58,160.03,182.17,195.01,213.36,229.96,315.38,419.59,553.93,597.64,486.64,714.77,732.16,764.27
 -Other Income Tax,0,0,6.4,9.15,8.24,9.32,10.25,10.18,11.22,10.5,11.3,12.47,13.83,13.9,14.79,18.21,18.82,21.63,19,8.01,1.68,17.9,53.62,42.19,44.32,50.77
Rental,,,,,,,,,,,,,,,,,,,,,,,,27.65,55.03,71.74
 -Withholding Tax,0,0,4.4,8.94,9.4,13.63,15.64,20.91,18.77,27.58,35.54,50.48,57.57,85.41,93.03,116.1,125.28,158.74,212.79,274.75,328.92,389.38,406.7,546.86,699.34,677.93
 -Tax on Bank Interest,0,0,0,0,0.04,0.03,4.12,5.18,4.21,4.03,5.72,4.27,8.96,8.28,6.72,29.06,52.36,61.82,66.65,73.57,102.27,222.63,268.93,290.4,355.15,473.76
 -Casino and Lottery Tax,0,0,0,1.58,0.88,1.29,0.23,0.21,0.24,0.19,0.21,0.24,0.28,0.37,0.34,0.39,0.97,1.07,1.87,4.79,5.39,7.4,11.01,13.86,17.42,26.59
 -Agricultural products,0,1.13,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Un-allocated Revenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.46,58.77,2.77,2.05,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect Domestic Taxes,43.28,65.87,102.29,132.49,171.61,174.09,214.5,244.65,272.03,276.03,329.68,357.65,369.49,435.12,512.02,597.98,698.57,768.56,945.54,1039.81,1296.08,1730.97,1900.2,2148.63,2443.28,2842.23
Excise duty:,15.03,18.78,40.37,48.63,61.36,86.26,98.18,104.64,107.77,101.27,116.25,113.24,128.56,136.01,159.29,185.34,217.85,242.61,274.13,315.57,372.84,451.8,546.3,638.46,671.14,819.78
e-Cigarettes,7.51,9.48,19.89,22.27,24.72,29.76,31.3,32.3,33.57,27.19,29.45,30.42,31.9,28.63,28.31,4.94,6.09,7.31,7.7,6.55,7.39,9.91,14.25,14.98,12.62,12.07
e-Beer,4.26,5.53,14.14,18.48,25.94,40.7,51.49,57.21,59.94,62.02,64.53,53.45,57.89,60.7,60.74,79.81,82.94,85.18,98.86,118.78,159.48,170.72,144.22,146.85,177.68,216.72
e-Spirits/Waragi,0.27,0.39,0.61,0.74,0.75,1.35,1.47,2.03,0.91,1.64,2.35,3.74,4.98,6.46,7.84,9.11,11.25,11.96,10.38,18,19.66,34.24,45.55,53.33,58.2,98.89
e-Soft Drinks,2.99,2.56,5.73,7.13,9.95,14.44,13.92,13.09,13.35,10.42,10.77,12.33,12.94,15.3,17.44,20.56,22.6,24.56,27.91,37.83,47.62,53.52,59.34,71.8,83.12,90.01
e-Phone Talk time,0,0,0,0,0,0,0,0,0,0,9.15,13.29,20.85,24.9,35.44,53.64,74.29,88.73,99.49,100.75,113.83,147.56,170.43,184.17,166.78,194.3
e-Sugar,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,9.51,9.35,10.07,13,17.19,13.74,5.54,7.35,7.48,17.85,18.22,37.97
e-Bottled Water,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,2.56,3.58,4.38,8.19,8.42,8.32,8.34,9.86,14.49,16.17
e-Cement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96,8.05,8.3,8.23,11.72,10.9,13.18,15.73,17.77,20.78,23.73
Cosmetics,,,,,,,,,,,,,,,,,,,,,,7,7.95,7.7,8.57,9.65
Mobile money transfers,,,,,,,,,,,,,,,,,,,,,,,4.85,48.99,37.73,45.81
International Calls,,,,,,,,,,,,,,,,,,,,,,,68.16,65.14,34.23,33.97
Bank charges,,,,,,,,,,,,,,,,,,,,,,,,,38.71,40.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Added Tax:,28.25,47.08,61.92,83.86,110.25,87.83,116.32,140.02,164.26,174.75,213.43,244.41,240.93,299.12,352.73,412.65,480.72,525.95,671.41,724.24,923.25,1279.17,1353.89,1510.17,1772.14,2022.45
 -Cigarettes,8.19,12.18,12.39,13.44,14.85,8.07,7.85,7.73,6.9,4.85,5.38,5.98,5.03,6.64,6.73,1.74,1.5,1.38,1.41,1.41,1.22,2.54,6.77,16.76,9.37,9.04
 -Beer,7.15,8.22,10.42,15.77,22.27,11.54,13.82,12.64,11.59,14.69,19.99,17.28,16.86,16.77,24.25,32.19,29.87,24.54,37.03,52.44,75.17,97.37,96.41,108.83,120.51,126.86
 -Spirits/Waragi,0.33,0.48,0.58,0.93,1.02,0.44,0.3,0.61,0.81,0.29,1.18,2.09,5.48,6.77,0.69,0.87,0.97,1.15,0.97,0.33,0.35,2.04,1.6,0.99,1.28,6.82
 -Soft Drinks,2.23,3.19,6.52,9.52,10.05,5.02,4.3,2.98,5.14,3,7.05,9.16,7.88,12.03,11.19,12.69,14.6,16.67,15.85,25.84,28.28,34.9,30.27,32.39,35.45,43.02
 -Sugar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,30.3,31.18,46.35,64.28,72.23,62.44,109.8,71.29,110.8,120.36,139.66
 -Bottled Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,1.26,1.55,2.87,4.84,7.37,6.82,9.69,7.27,10.64,23.98,24.25
 -Cement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.76,15.27,18.61,21.71,25.16,21.02,24.23,30.24,37.36,53.09,72.01,66.49
 -Milk,,,,,,,,,,,,,,,,,,,,,,,,,,
                   -Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,
 -Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.04,52.16,53.72,54.52,74.58,45.06,60.67,135.31,162.67,112.81,114.68,128.08
 -Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73,7.35,7.58,11.21,11.85,13.77,5.11,12.2,17.59,12.79,20.89,23.06
 -Other Goods and services,10.35,23.01,32.01,44.21,62.07,62.75,90.04,116.06,139.82,151.92,179.83,209.9,205.67,256.91,212.02,199.85,256.72,290.93,342.16,416.54,560.63,703.06,781.32,899.33,1071.65,1249.82
 -Phone Talk time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.97,58.97,64.42,54.63,93.28,68.24,98.33,142.03,141.35,151.75,181.94,205.34
,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxes on International Trade,100.58,165.98,211.22,297.59,356.69,453.44,466.18,543.55,555.45,611.07,633.26,722.45,861.31,958.22,1127.84,1376.4,1704.23,1957.84,2038.71,2534.02,2937.18,3070.51,3548,4395.5,4960.11,5414.56
 -Petroleum duty,54.5,82.52,92.83,119.66,150.76,197.46,188.27,193.21,197.2,199.3,222.17,240.68,269.81,309.02,383.97,465.19,579.11,632.32,716.23,821.18,920.9,794.84,984.24,1197.75,1382.95,1609.6
 -Import duty,21.54,38.68,52.56,65.14,75.86,72.27,78.05,96.48,105.09,141.01,117.22,133.07,133.95,153.67,226.64,258.99,307.56,360.07,346.62,447.42,506.06,598.73,747.53,841.38,940.07,1043.65
 -Excise duty,0,0,1.4,1.98,5.73,17.75,17.6,25.01,23.6,24.3,23.01,34.83,48.84,50.38,24.61,54.63,64.07,79.65,79.7,93.3,131.78,158.39,154.01,196.13,245.74,239.39
 -Surcharge on Used Imports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13,16.03,32.87,38.62,47.76,50.27,61.21,72.89,95.9,136.28,164.61
 -VAT on Imports,20.41,36.76,46.96,67.11,77.7,129.26,144.61,181.24,178.87,199.45,218.37,251.06,332.59,365.42,429.19,512.41,655.63,763.64,763.4,986.52,1164.58,1254.53,1404.41,1783.52,1952.82,2057.11
 -Withholding Taxes,0,0,6.6,14.26,16.14,15.5,17.24,21.81,23.35,24.36,24.75,30.11,34.43,47.4,47.92,54.54,58.55,64.61,68.58,84.77,120.48,154.01,131.29,152.79,165.14,154.95
 -Temporary Road Licenses,1.2,1.72,1.98,3.05,2.44,2.46,2.67,4.51,4.66,5.13,6.18,6.78,9.38,11.63,13.31,18.07,19.2,23.55,25.43,45.14,42.53,48.8,50.49,57.59,58.29,62.16
 -Commission on Imports,0.93,6.3,8.84,12.14,15.2,16.25,17.38,21.23,22.68,17.53,21.55,25.23,30.92,19.54,0.17,0.01,0,0,0,0,0,0,0,0,0,
 -Re-exports levy,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
 -Infrastruture levly,,,,,,,,,,,,,,,,,,,,,,,,57.27,62.94,69.11
 -Hides & Skins levy/Exports Levy,0,0,0,0,0,0,0,0,0,0,0,0.71,1.39,1.17,2.04,2.43,4.07,1.14,0.12,7.93,0.59,0,3.13,13.19,15.88,13.97
,,,,,,,,,,,,,,,,,,,,,,,-49.54,,,
Coffee Stabilisation Tax,2,0,0,14.25,12.86,2.48,0.35,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,138.64,,,
Tax Refunds:,0,0,0,0,0,-7.57,-14.87,-22.72,-30,-35,-38.78,-29.87,-42.51,-46.41,-60.01,-95.95,-95.53,-101.91,-105.59,-143.57,-168.49,-180.7,-188.18,-176.61,-202.96,-175.32
Tax Refunds due to Diesel tax exemption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.41,-62.16,-68.99,-66.11,-78,-92.3,-31.87,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Fees and Licenses,3.65,6.45,8.7,12.41,15.73,20.14,23.73,21.65,21.73,22.94,28.84,39.08,51.27,63.26,75.35,83.92,62.51,78.27,102.73,111.26,184.06,110.26,146.56,156.36,151.72,201.92
 -Fees & Licenses (Traffic Act),2.31,4.47,7.17,10.09,12.75,16.82,20.03,17.42,17.89,18.81,23.25,30.44,42.71,52.44,63.21,66.33,40,47.83,64.1,67.42,63.79,69.98,92.86,91.89,73.35,80.34
 -Drivers Permits,0.18,0.31,0.47,0.55,1.13,1.5,1.82,1.95,1.92,2.03,2.72,3.37,3.38,3.88,3.72,4.12,5.5,9.48,12.37,11.82,13.52,13.65,14.15,15.92,18.24,33.56
 -Stamp duty & Embossing Fees,0.37,1.42,0.79,1.45,1.85,1.82,1.89,2.28,1.92,2.1,2.87,5.27,5.18,6.95,8.41,13.47,17.01,20.95,26.26,32.02,106.75,26.62,39.56,48.56,60.13,88.02
Road User Charges,0.79,0.25,0.28,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,
Airport Service Tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Government Taxes,0,0,14.69,15.24,27.67,6.7,9.29,11.3,23.57,15.24,13.05,12.73,11.93,15.36,16.69,27.95,45.9,80.85,57.53,55.34,76.14,54.59,48.15,0,0,0
 -Non-oil Imports,0,0,6.98,6.1,10.68,2.23,2.86,2.88,5.3,4.17,3.24,2.95,2.98,3.65,9.02,9.1,16.19,25.05,21.65,30.8,45.09,20.78,27.7,0,0,0
